         27639943 function calls (27011647 primitive calls) in 586.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13442    0.078    0.000    3.346    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1198(update)
     3166    0.026    0.000    3.201    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1325(refresh)
    40326    1.047    0.000    3.139    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
     3167    0.028    0.000    3.003    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1464(display)
    13442    1.383    0.000    2.973    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:60(__init__)
    13442    1.140    0.000    2.928    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
    53785    0.165    0.000    2.298    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
   120978    0.562    0.000    2.283    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
    53768    1.924    0.000    1.978    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:734(name)
     3167    0.016    0.000    1.890    0.001 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:457(print_status)
      2/1    0.076    0.038    1.871    1.871 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py:49(Manager)
 24821/36    0.482    0.000    1.839    0.051 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:323(wait)
      2/1    0.000    0.000    1.795    1.795 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\managers.py:535(start)
    13442    0.007    0.000    1.761    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:5773(isna)
    13442    0.015    0.000    1.754    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:8693(isna)
    26936    0.010    0.000    1.673    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:101(isna)
    26936    0.074    0.000    1.663    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
     3167    0.036    0.000    1.550    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:451(fp_write)
     6336    0.015    0.000    1.482    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\utils.py:194(inner)
     3169    1.449    0.000    1.449    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    13442    1.446    0.000    1.446    0.000 {built-in method nt.remove}
4583114/4556227    0.822    0.000    1.418    0.000 {built-in method builtins.isinstance}
    13442    0.034    0.000    1.374    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
    26884    1.112    0.000    1.211    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\common.py:1204(is_potential_multi_index)
    13442    0.048    0.000    1.141    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\base_parser.py:191(_validate_parse_dates_presence)
    13442    1.041    0.000    1.077    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\inference.py:273(is_dict_like)
        1    0.000    0.000    0.984    0.984 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\managers.py:655(__exit__)
        1    0.000    0.000    0.984    0.984 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\managers.py:658(_finalize_manager)
    13442    0.033    0.000    0.905    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:5136(reindex)
     3167    0.028    0.000    0.880    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:1150(__str__)
    13442    0.037    0.000    0.871    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:5343(reindex)
        1    0.000    0.000    0.818    0.818 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\util\_decorators.py:325(wrapper)
        1    0.000    0.000    0.818    0.818 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:3797(to_csv)
        1    0.000    0.000    0.818    0.818 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\formats\format.py:965(to_csv)
        1    0.000    0.000    0.817    0.817 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\formats\csvs.py:246(save)
     3167    0.167    0.000    0.814    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\std.py:464(format_meter)
134478/120988    0.090    0.000    0.788    0.000 {built-in method builtins.all}
     9501    0.016    0.000    0.781    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\utils.py:378(disp_len)
     9501    0.019    0.000    0.744    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\utils.py:374(_text_width)
    22945    0.181    0.000    0.736    0.000 {built-in method builtins.sum}
    13442    0.046    0.000    0.693    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
    40326    0.301    0.000    0.676    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\cast.py:123(maybe_convert_platform)
    13443    0.087    0.000    0.676    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\common.py:304(_get_filepath_or_buffer)
   203229    0.261    0.000    0.656    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\popen_spawn_win32.py:103(wait)
     8455    0.019    0.000    0.653    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\queues.py:374(empty)
   203222    0.096    0.000    0.633    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\popen_spawn_win32.py:121(poll)
    13442    0.081    0.000    0.626    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\construction.py:596(_homogenize)
       17    0.343    0.020    0.621    0.037 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\formats\csvs.py:315(_save_chunk)
    13442    0.071    0.000    0.609    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\range.py:137(__new__)
    13442    0.016    0.000    0.603    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\base_parser.py:362(_make_index)
    13442    0.008    0.000    0.585    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\base_parser.py:350(_maybe_make_multi_index_columns)
    40325    0.138    0.000    0.571    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:5552(equals)
     8456    0.024    0.000    0.563    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:253(poll)
