YTE;calc
0.000739726;2468.696617
0.000739726;2468.6404
0.000739726;2468.427623
0.000739726;2468.475256
0.000739726;2468.612635
0.000739726;2468.619804
0.000739726;2468.641958
0.000739726;2468.643166
0.000739726;2469.33614
0.000739726;2468.693527
0.000739726;2469.340591
0.000739726;2468.703727
0.000739726;2469.349552
0.000739726;2469.349445
0.000739726;2469.358357
0.000739726;2469.362735
0.000739726;2469.358111
0.000739726;2469.371444
0.000739726;2469.375775
0.000739726;2469.38439
0.000739726;2469.401433
0.000739726;2469.409439
0.000739726;2469.435567
0.000739726;2469.434798
0.000739726;2469.438902
0.000739726;2469.450287
0.000739726;2469.466924
0.000739726;2469.474878
0.000739726;2469.486369
0.006219178;2468.426402
0.006219178;2468.66788
0.006219178;2468.626356
0.006219178;2468.745726
0.006219178;2469.272571
0.006219178;2469.317426
0.006219178;2469.439164
0.006219178;2469.442992
0.006219178;2469.442724
0.006219178;2469.455175
0.006219178;2469.454887
0.006219178;2469.463227
0.006219178;2469.462925
0.006219178;2469.47552
0.006219178;2469.479162
0.006219178;2469.487387
0.006219178;2469.491315
0.006219178;2469.486707
0.006219178;2469.490623
0.006219178;2469.498772
0.006219178;2469.506893
0.006219178;2469.510378
0.006219178;2469.51422
0.006219178;2469.513838
0.006219178;2469.521864
0.006219178;2469.517275
0.006219178;2469.529457
0.006219178;2469.529053
0.006219178;2469.536583
0.006219178;2469.55193
0.006219178;2469.6317
0.006219178;2469.644869
0.014438356;2468.191965
0.014438356;2468.675314
0.014438356;2468.787284
0.014438356;2468.854384
0.014438356;2468.554086
0.014438356;2469.295252
0.014438356;2468.834819
0.014438356;2468.83111
0.014438356;2469.354079
0.014438356;2469.340408
0.014438356;2469.398162
0.014438356;2469.406906
0.014438356;2469.419613
0.014438356;2469.419381
0.014438356;2469.423579
0.014438356;2469.432184
0.014438356;2469.452551
0.014438356;2469.438902
0.014438356;2469.438641
0.014438356;2469.497733
0.014438356;2469.561017
0.019917808;2468.501207
0.019917808;2468.474887
0.019917808;2467.666392
0.019917808;2468.373484
0.019917808;2468.549964
0.019917808;2468.511476
0.019917808;2468.458037
0.019917808;2468.582842
0.019917808;2469.122631
0.019917808;2469.077601
0.019917808;2468.415548
0.019917808;2469.087043
0.019917808;2468.426258
0.019917808;2469.12837
0.019917808;2469.16041
0.019917808;2469.15665
0.019917808;2469.156892
0.019917808;2469.170707
0.019917808;2469.17536
0.019917808;2469.153425
0.019917808;2469.166932
0.019917808;2469.185369
